DOSE,B_B0_M,CURVE,DOSE2,B/B0_F,CURVE2,EXPECTED,OBSERVED F,OBSERVED M
0,100,STD,0,100,STD,0,0,0
15.62,96.57,STD,15.62,96.57,STD,1.95,1.52,1.7
62.5,79.39,STD,62.5,79.39,STD,7.81,19.82,4.6
250,56.04,STD,250,56.04,STD,31.25,44.92,15.6
1000,31.23,STD,1000,31.23,STD,125,197.72,119.8
4000,19.05,STD,4000,19.05,STD,500,507.82,562.6
31.24,108.305648,MALE,31.24,105.647841,FEMALE,2000,2357.12,2036.8
62.5,103.100775,MALE,62.5,117.386489,FEMALE,,,
125,99.0033223,MALE,250,106.644518,FEMALE,,,
250,86.7109635,MALE,500,98.7818383,FEMALE,,,
500,96.7884828,MALE,1000,115.17165,FEMALE,,,
1000,80.952381,MALE,,,,,,
