Vial #,MMSNW,Field ID,Bluber Depth,Sex,Age,Body condition,Carcass decomposition,Weight,Cortisol ng/g,Cortisol CV (OD),Corticosterone,Corticosterone CV (OD),Aldosterone ng/g,Aldosterone CV (OD),Lipid content
34,CRC,1035,Surface,M,adult,Fair,2,0.183,5.26,,0.18,,,,0.99
35,CRC,1035,Medium,M,adult,Fair,2,0.2642,5.12,,0.17,,,,0.53
36,CRC,1035,Bottom,M,adult,Fair,2,0.1849,4.02,,0.13,,,,
8,CRC,1278,Surface,F,adult,Fair,3,0.207,8.85,,,,,,2.29
9,CRC,1278,Medium,F,adult,Fair,3,0.2731,7.49,,,,,,1.29
10,CRC,1278,Bottom,F,adult,Fair,3,0.3242,7.97,,,,,,0.08
1,CRC,1429,Surface,F,juv,Good,3,0.5078,2.71,,,,,,
2,CRC,1429,Medium,F,juv,Good,3,0.5746,6.36,,,,,,
3,CRC,1429,Bottom,F,juv,Good,3,0.3551,4.55,,,,,,
29,CRC,1524,Surface,F,sub-adult,Poor,2.5,0.326,16.18,,1.5,,,,
30,CRC,1524,Medium,F,sub-adult,Poor,3.5,0.2313,,,1.52,,,,
31,CRC,1524,Bottom,F,sub-adult,Poor,4.5,0.2515,10.94,,1.02,,,,
11,CRC,1587,Surface,F,sub-adult,Good,3,0.195,43.91,,1.67,,,,13.1
12,CRC,1587,Medium,F,sub-adult,Good,3,0.4277,13.98,,0.77,,,,0.7
13,CRC,1587,Bottom,F,sub-adult,Good,3,0.408,27.8,,1.75,,,,0.7
84,CRC,1712,Surface,M,adult,Poor,2.5,0.1653,1.52,3.4,0.19,4.9,0.05,7.68,5.37
85,CRC,1712,Medium,M,adult,Poor,2.5,0.1333,1.18,8.2,0.88,,0.01,7.1,3.03
86,CRC,1712,Bottom,M,adult,Poor,2.5,0.109,1.34,0.1,0.35,2.8,,,0.74
70,CRC,1714,Surface,F,juv,Poor,3.5,0.2127,2.1,5.5,3.17,,1.52,0.83,18.65
71,CRC,1714,Medium,F,juv,Poor,3.5,0.1587,0.72,1.3,0.31,,0.06,,
72,CRC,1714,Bottom,F,juv,Poor,3.5,0.1954,16.63,0.1,0.38,,0.12,4.11,
67,CRC,1724,Surface,F,adult,Poor,2.5,0.2099,0.11,0.2,0.39,,0.05,2.36,5.9
68,CRC,1724,Medium,F,adult,Poor,2.5,0.1623,0.12,6.9,0.47,,0.03,3.41,
69,CRC,1724,Bottom,F,adult,Poor,2.5,0.1896,0.17,0.3,0.31,,0.02,2.97,
98,CRC,1727,Surface,M,adult,Fair,2.5,0.1483,1.52,3.3,2.08,,0.13,2.9,3.48
99,CRC,1727,Medium,M,adult,Fair,2.5,0.1365,0.52,6.4,1.53,,0.26,2.4,1.11
100,CRC,1727,Bottom,M,adult,Fair,2.5,0.2078,0.42,0.6,0.7,,0.43,0.4,4.8
79,CRC,1732,Surface,M,adult,Poor,2.5,0.1459,0.58,4.2,0.44,,0.04,4.28,23.88
80,CRC,1732,Medium,M,adult,Poor,2.5,0.125,1.18,0.2,0.68,,0.06,7.6,
81,CRC,1732,Bottom,M,adult,Poor,2.5,0.176,0.64,1,0.22,,0.003,2.82,
19,PSU,180413,Medium,M,juv,Good,3.5,0.2773,0.68,,,,,,
20,PSU,180413,Bottom,M,juv,Good,3.5,0.2563,0.47,,,,,,34.3
57,PSU,180413,Surface,M,juv,Good,3.5,0.193,1.2,4.3,0.54,0.24,,,59.3
73,PSU,190402,Surface,F,adult,Fair,2.5,0.1912,3.31,0.4,0.33,,0.1,3.78,24.15
74,PSU,190402,Medium,F,adult,Fair,2.5,0.1938,0.49,2.9,0.51,,0.04,2.08,0.12
75,PSU,190402,Bottom,F,adult,Fair,2.5,0.2135,1.38,1.7,0.31,,0.03,4.51,0.03
95,PSU,190417,Surface,F,adult,Fair,2.5,0.1977,1.9,0.9,0.52,,0.07,5.7,16.39
96,PSU,190417,Medium,F,adult,Fair,2.5,0.0957,0.9,4.8,1.5,,0.02,1.5,
97,PSU,190417,Bottom,F,adult,Fair,2.5,0.1025,0.7,3.3,0.66,,0.04,0.6,0.17
87,PSU,190430,Surface,F,adult,Fair,3,0.104,3.19,1.2,0.16,,0.06,0.72,2.6
88,PSU,190430,Medium,F,adult,Fair,3,0.153,0.79,1.3,0.28,,0.04,3.82,1.6
89,PSU,190430,Bottom,F,adult,Fair,3,0.2125,0.58,0.6,0.07,,0.02,1.77,0.2
92,WDFW,2019017,Surface,F,juv,Poor,2,0.1775,32.06,5,2.97,,0.2,5.96,36.4
93,WDFW,2019017,Medium,F,juv,Poor,2,0.1619,16.95,0.4,0.9,,0.07,0.08,
94,WDFW,2019017,Bottom,F,juv,Poor,2,0.2296,15.1,2.6,1.61,,0.09,2.65,
119,AKMMSN,2019018,Surface,M,adult,NA,NA,0.2459,10.33,10.3,0.46,,,,56.9
120,AKMMSN,2019018,Medium,M,adult,NA,NA,0.3244,10.96,1.2,1.87,0.63,,,8.29
121,AKMMSN,2019018,Bottom,M,adult,NA,NA,0.1434,5.72,1.6,1.16,3.3,,,32.55
76,WDFW,2019047,Surface,M,juv,Poor,3,0.2149,0.96,1.6,0.16,,0.04,8.75,
77,WDFW,2019047,Medium,M,juv,Poor,3,0.1944,1.1,0.9,0.15,,0.01,6.83,
78,WDFW,2019047,Bottom,M,juv,Poor,3,0.2352,0.99,7.2,0.74,,,1.55,4.2
116,AKMMSN,2019100,Surface,M,sub-adult,NA,NA,0.2029,9.71,3.5,0.46,3.12,0.08,7.2,15.47
117,AKMMSN,2019100,Medium,M,sub-adult,NA,NA,0.1742,2.87,2.5,0.24,,0.02,2.6,5.29
118,AKMMSN,2019100,Bottom,M,sub-adult,NA,NA,0.3038,10.87,11.8,0.82,11.4,0.02,0.8,0.28
101,CRC,SKMMR2019-5-Er,Surface,F,adult,Poor,3,0.1689,10.28,8.8,2.59,,0.36,5.97,11.3
102,CRC,SKMMR2019-5-Er,Medium,F,adult,Poor,3,0.1062,0.49,,0.62,0.46,0.11,6.44,
103,CRC,SKMMR2019-5-Er,Bottom,F,adult,Poor,3,0.1365,,,0.26,7.05,,,
