Vial #,MMSN,Field ID,Bluber Depth,Age class,time,Yr,Mo,Da,Month,Latitude N,Longitude W,State,Carcass Condition,Body condition,Adjusted_BC,Sex,COD -assigned,Lipid Content,Cortisol ng/g,OD CV %,Corticosterone ng/g,OD CV %,Aldosterone,OD CV %
59,WDFW,201730,Surface,Immature,Pre-UME,2017,5,2,May,46.33,-124.08,WA,3,Excellent,Good,M,Entanglement,28.76,6.4,7,3,,0.518,1.8
87,PSU,190430,Surface,Adult,UME 2019,2019,4,30,April,46.37,-124.07,WA,3,Fair,Fair,F,Undetermined,2.6,3.2,1.2,0.16,,0.058,0.72
95,PSU,190417,Surface,Adult,UME 2019,2019,4,17,April,46.6,-124.07,WA,2.5,Fair,Fair,F,Trauma,16.39,1.9,0.9,0.52,,0.074,5.7
57,PSU,180413,Surface,Immature,Pre-UME,2018,4,15,April,46.63,-124.07,WA,3.5,Good,Good,M,Entanglement,59.3,1.2,4.3,0.54,0.24,0.147,3.6
73,PSU,190402,Surface,Adult,UME 2019,2019,4,2,April,46.65,-124.07,WA,2.5,Fair,Fair,F,Undetermined,24.15,3.3,0.4,0.33,,0.095,3.78
76,WDFW,2019047,Surface,Immature,UME 2019,2019,6,3,June,46.73,-124.09,WA,3,Poor,Poor,M,Nutritional stress,2.21,1,1.6,0.16,,0.038,8.75
22859,CRC,1278,Surface,Adult,Pre-UME,2013,7,30,July,46.81,-124.1,WA,3,Fair,Fair,F,Trauma,2.29,8.9,,0.27,,0.295,1.06
19299,CRC,1587,Surface,Immature,Pre-UME,2017,5,24,May,46.83,-124.11,WA,3,Good,Good,F,Trauma,13.1,43.9,,1.67,,0.411,3.78
67,CRC,1724,Surface,Adult,UME 2019,2019,5,16,May,46.86,-124.11,WA,2.5,Poor,Poor,F,Nutritional stress,5.9,0.1,0.2,0.39,,0.051,2.36
79,CRC,1732,Surface,Adult,UME 2019,2019,6,1,June,46.86,-124.12,WA,2.5,Poor,Poor,M,Nutritional stress,23.88,0.6,4.2,0.44,,0.037,4.28
70,CRC,1714,Surface,Immature,UME 2019,2019,4,18,April,46.96,-124.18,WA,3.5,Poor,Poor,F,Undetermined,18.65,2.1,5.5,3.17,,1.523,0.83
21/55,CRC,1665,Surface,Immature,Pre-UME,2018,6,28,June,47.02,-124.16,WA,2,Poor,Poor,F,Trauma,50.35,14.2,,21.66,,0.715,6.22
65,CRC,1723,Surface,Immature,UME 2019,2019,5,15,May,47.05,-124.18,WA,3,Poor,Poor,F,Nutritional stress,12.74,8.3,1.7,4.65,,2.345,8
82,CRC,1720,Surface,Immature,UME 2019,2019,5,9,May,47.06,-124.18,WA,2.5,Poor,Poor,M,Trauma,4.59,1.1,4.9,3.6,,0.092,0.23
18629,CRC,1429,Surface,Immature,Pre-UME,2014,8,20,August,47.08,-124.18,WA,3,Good,Good,F,Undetermined,,2.7,,1.51,,0.813,3
